歌曲名字,时长,歌手
在你的身边,04:22,盛哲
唯一,04:30,告五人
再见莫妮卡,03:00,彭席彦/Franky弗兰奇
给你一瓶魔法药水,04:18,告五人
哪里都是你,03:42,队长
把回忆拼好给你,06:21,王贰浪
苦茶子,02:50,Starling8/MoreLearn 27/FIVESTAR
带我去找夜生活,04:59,告五人
多远都要在一起,03:36,G.E.M.邓紫棋
小城夏天,02:53,LBI利比
爱似水仙 - (致外婆),03:08,俞天时KOZAY/刘大拿
无数,05:30,薛之谦
是你,03:43,梦然
11,03:54,队长/黄礼格
忏悔录 - (听我说妈妈),03:16,KKECHO/那奇沃夫/DR1P
罗生门（Follow）,04:03,梨冻紧/Wiz_H张子豪
这世界那么多人 - (电影《我要我们在一起》主题曲),04:45,莫文蔚
孤勇者 - (《英雄联盟：双城之战》动画剧集中文主题曲),04:16,陈奕迅
Bones,02:45,Imagine Dragons
水星记,05:25,郭顶
Letting Go - (这是一封离别信),04:06,刘大拿
遗失的心跳 - (Missing Heartbeat),03:36,萧亚轩
还是会想你,03:10,林达浪/h3R3
Letting Go,04:23,蔡健雅
形容,03:45,沈以诚
三国恋,03:41,王巨星
STAY,02:21,The Kid LAROI/Justin Bieber
晚风心里吹,03:06,阿梨粤
致你 - (女声版),04:31,yihuik苡慧
忘不掉的你,02:52,h3R3
起风了,05:25,买辣椒也用券
I Really Want to Stay At Your House,04:06,Rosa Walton/Hallie Coggins
So Far Away - (遥不可及),03:03,Martin Garrix/David Guetta/Jamie Scott/Romy Dya
晚风,03:22,7copy/BT07
呓语,04:31,毛不易
隆里电丝 (LIVE版),03:39,盛宇D-SHINE/KEY.L刘聪/ICE
予你 - (《解药》官方主题曲Ⅱ),03:51,队长
溯 (Reverse),03:12,CORSAK胡梦周/马吟吟
或许,03:41,LBI利比
浪漫血液 - (The Romantic),04:32,林俊杰
Empty Love - (虚无之爱),02:50,Lulleaux/Kid Princess
日的光影 - (Shadow Of The Sun),02:10,王OK(王澳珂)
Normal No More - (不再平庸),03:19,TYSM
给你呀（又名：for ya）,02:33,蒋小呢
漠河舞厅·2022,05:04,柳爽
NUNA,03:42,队长
特别的人 - (Special Person),04:19,方大同
危险派对,03:00,王以太/刘至佳
But U,03:45,NINEONE#
初恋,03:42,回春丹
浪漫主义,03:36,姜云升
Stay The Night - (情深一夜),02:46,Just Kiddin/Camden Cox
So Far Away (Acoustic),02:51,Adam Christopher
还是分开,03:46,张叶蕾
NUNA 2.0,03:43,队长/叶琼琳
爱上你是一个错（烟嗓）,02:26,烟(许佳豪)
删了吧 - (要不你还是把我删了吧),03:24,烟(许佳豪)
想去海边,04:27,夏日入侵企画
光的影子 - (Shadow Of The Sun中文版),03:38,不知名选手Au/高旭
错位时空,03:23,艾辰
In The Shadow Of The Sun,03:56,Professor Green
呼吸决定,04:06,Fine乐团
沉沦与遐想,02:33,C.HØPE
再等冬天(Memories),02:48,h3R3
谁 (Live版),04:14,廖俊涛
第三人称,04:29,买辣椒也用券
Wake (Live),04:35,Hillsong Young & Free
篇章,04:09,张韶涵/王赫野
MOM - (妈妈),02:54,蜡笔小心
天外来物,04:17,薛之谦
星辰大海,03:27,黄霄雲
总有一天你会出现在我身边,04:30,棱镜乐队
晚安,04:49,颜人中
命运,03:32,粉太狼
最佳损友,03:53,陈奕迅
兄妹 - (女声治愈版),02:57,刘大拿
消愁,04:21,毛不易
Letting Go - (我的眼泪),04:21,陈老兮
悬溺,03:17,葛东琪
玫瑰少年,04:01,伦桑
先说谎的人,02:48,h3R3
好好宠爱 - (网易天成主题曲),03:46,房东的猫
再见,03:26,G.E.M.邓紫棋
置底,04:04,徐秉龙
Time to Pretend - (伪装时刻),05:14,Lazer Boomerang
像我这样的人,03:27,毛不易
千年泪,03:13,曹雨航
玫瑰少年 - (小提琴版),02:00,Strictlyviolin荀博/王朝
耍把戏,03:27,阿禹ayy
他只是经过,03:35,h3R3/高旭
你的轮廓 - (我穿过所有浪漫银河),03:57,叶琼琳
账号已注销,03:42,太一
有些,03:49,颜人中
可不可以,04:00,张紫豪
楼顶上的小斑鸠,03:42,队长
爱立刻有 - (ชอบเธออะ (I Like You)女生版),02:40,Bell玲惠
新地球 - (Brave New World),04:37,林俊杰
Love Is Gone (Acoustic),02:56,SLANDER/Dylan Matthew
与我无关,04:00,阿冗
异地恋 - (我每天问一百次),02:52,ZAVIS/坤木Joymo
遗失的心跳 - (Missing Heartbeat),03:36,萧亚轩
永不失联的爱 - (Unbreakable Love),04:19,周兴哲
海芋恋·2022,02:20,范世錡
最好的我 - (我明白要你爱是荒谬的要求),03:58,刘大拿/刘思达LOFTHESTAR
簇拥烈日的花,03:49,Morerare/迟里乌布
Dancing With Your Ghost,03:17,Sasha Alex Sloan
嘉宾,04:30,路飞文
如果呢,04:17,郑润泽
大眠 (完整版),03:04,小乐哥（王唯乐）
世间美好与你环环相扣,03:11,柏松
必杀技 - (温柔版),03:32,Ecrolyn
我都明白 - (《追尾》官方主题曲),04:09,范倪Liu
下一个天亮,04:10,颜人中
大雾 - (大雾四起 偷偷藏匿),02:14,未知音素/张一乔
中专 - (完整版),02:55,大拖鞋
必杀技,03:52,古巨基
我的美丽,05:08,小霞
Cure For Me,03:21,AURORA
下雨天,04:25,与少年他/芝麻Mochi
Everybody Dies In Their Nightmares,01:35,XXXTENTACION
我多想拥抱你,03:13,黑屋乐队
外婆桥,04:21,任然
素颜,03:58,许嵩/何曼婷
夏日漱石 (Summer Cozy Rock),04:23,橘子海 (Orange Ocean)
不将就 - (电影《何以笙箫默》片尾主题曲),05:12,李荣浩
阿拉斯加海湾,03:57,蓝心羽
Bet On Me (Organic Version),02:51,Walk off the Earth/D Smoke
山楂树之恋,03:04,程佳佳
爱似水仙（烟嗓）,03:13,烟(许佳豪)
五百二十赫兹 - (520hz),03:06,Capper
偏爱和例外,02:50,烟(许佳豪)
Star (反方向的钟),03:00,XMASwu（吴骜）
Princess - (我的女孩),02:31,XMASwu（吴骜）
Bet On Me,02:52,Walk off the Earth/D Smoke
阴天快乐 - (女声版),04:17,yihuik苡慧
风是从哪儿来 - (我们打着光脚在风车下跑，手上的狗尾巴草摇啊摇),02:32,Bell玲惠
走马,03:55,陈粒
某年某月某天,05:15,颜人中
爱要怎么说出口 - (女声版),03:11,澪恩Seiwen
你走以后1.0,03:54,王恩信Est/二胖u（王訫）
他不懂,03:52,张杰
我在等,03:17,林宝馨
Are You Lost - (小提琴完整版),02:12,Strictlyviolin荀博
保留,04:30,郭顶
See Tình (Speed Up Version),02:22,Hoang Thuy Linh
路过人间,04:48,郁可唯
海底,04:16,一支榴莲
像鱼,04:45,王贰浪
失眠飞行,03:27,接个吻，开一枪/沈以诚/薛黛霏
red lips（被我蒙对）,03:28,沙一汀EL
南半球与北海道,03:29,范倪Liu
星河万里,03:32,Rom邢锐
橘子,03:33,Tizzy T/洪一诺
年少有为,04:39,李荣浩
Daylight - (日光),02:42,Seredris
对你说 - (你也会爱上一个人付出很多很多),03:57,张茜
double take,02:51,dhruv
经济舱 - (Vol.Flightin'),03:39,KEY.L刘聪/Kafe.Hu
Watch Me Work,04:29,Tinashe
暖一杯茶,04:03,邵帅
沈园外,03:43,阿YueYue/戾格/小田音乐社
开始懂了,03:38,阿冗
夏天的风,03:41,火羊瞌睡了
别怕变老,04:05,王以太/艾热 AIR
怎么了 - (What's Wrong),05:21,周兴哲
百年孤寂,04:57,苏玮
我们打着光脚在风车下跑，手上的狗尾巴草摇啊摇,02:32,等一下就回家/-艾兜
Hug me (抱我),02:30,蔡徐坤
梦醒,03:29,handsome lau/HYPEEZY/冯泳
Lady Mama,02:41,杨和苏KeyNG
可,04:40,薛之谦/张靓颖
别怕变老 (LIVE版),04:08,王以太/艾热 AIR
盗墓笔记·十年人间 - (八一七稻米节主题推广曲),04:37,李常超 (Lao乾妈)
漠河舞厅,05:34,柳爽
海屿你 - (求你别离开我),04:55,马也_Crabbit/Cole先生
Head In The Clouds,03:04,Hayd
虞兮叹,03:30,闻人听書_
红豆,03:24,要不要买菜
月亮之矢,03:54,孤矢/虞娱
落在生命里的光,03:37,尹昔眠
光年之外 - (电影《太空旅客》中文主题曲),03:55,G.E.M.邓紫棋
匿名的好友 - (不能握的手),03:16,小包Zerinn
戒烟,04:53,李荣浩
过,03:23,王嘉尔/林俊杰
独到 - (《Normal No More》中文版),03:15,高睿
爱你,03:30,王心凌
岁月神偷,04:04,金玟岐
中间人,03:20,Ice Paper
指纹,04:00,杜宣达
One Last Kiss - (最终一吻),04:12,宇多田ヒカル
嗜好,04:44,颜人中
雨爱 - (雨上晴空),03:54,不是花火呀
美人鱼,04:14,林俊杰
一直很安静,03:48,王贰浪
越来越不懂,03:49,蔡健雅
多情种,03:34,要不要买菜
纵容,03:18,Capper/LEGGO/Todd Malone
一分一寸,03:56,阿YueYue/霓虹之后
Keep Your Head Up Princess,03:18,Anson Seabra
洛杉矶,02:42,LBI利比
